State,Station,Note,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2005
California,"Encinitas, California","Service ended on 10/9/17, during Fiscal 2018",,,,,122,,,,,,,,,
California,"Fairfield-Vacaville, California",,"39,248","28,245","61,003","101,369",,,,,,,,,,
California,"Fairfield-Vacaville, California","Service added on 11/13/17, during Fiscal 2018",,,,,"53,375",,,,,,,,,
California,"Fremont, California",,"21,216","9,341","23,234","48,512","44,371","41,751","40,617","35,475","34,446","38,471","43,737","43,515","39,162","13,772"
California,"Fresno, California",,"221,781","136,415","194,144","368,262","377,709","374,479","369,582","387,640","389,543","399,141","394,074","371,875","352,737","128,284"
California,"Fullerton, California",,"172,130","86,618","129,611","256,594","304,880","399,695","388,068","370,334","336,265","313,949","310,694","436,383","411,489","201,862"
California,"Glendale, California",,"31,521","13,227","22,226","44,390","43,351","55,032","52,395","51,009","48,631","41,936","40,070","39,913","37,117","17,342"
California,"Goleta, California",,"52,365","19,947","57,055","110,409","108,414","78,365","76,286","75,677","74,359","70,291","57,033","62,310","59,911","25,640"
California,"Great America (Santa Clara), California",,"39,593","19,970","100,196","194,677","176,925","167,475","151,802","131,129","113,189","120,140","121,246","115,989","104,041","37,275"
California,"Grover Beach, California",,"12,748","6,446","8,815","13,293","12,447","18,879","18,987","19,437","19,530","19,169","18,005","17,326","17,944","6,489"
California,"Guadalupe-Santa Maria, California",,"9,744","5,148","5,929","9,298","8,706","12,430","12,227","12,718","12,162","11,719","11,250","10,649","10,018","3,425"
California,"Hanford, California",,"97,628","60,573","93,645","181,209","190,403","196,702","201,098","213,923","220,144","225,708","210,682","199,291","187,865","69,588"
California,"Hayward, California",,"20,641","10,328","38,591","70,383","57,815","50,361","47,351","40,631","35,798","35,409","35,342","30,603","29,984","11,416"
California,"Irvine, California",,"180,103","108,774","184,298","347,262","438,553","440,986","450,732","421,736","406,451","425,041","421,619","664,263","630,190","281,576"
California,"Laguna Niguel, California",,,,,,,,,,,805,"2,125","2,938","2,644",
California,"Lodi, California",,"1,584",,"4,639","11,285","9,278","7,978","8,617","10,185","9,838","9,695","8,439","7,422","7,443","2,851"
California,"Lompoc-Surf, California",,"7,560","3,712","5,093","6,610","5,946","7,823","7,921","8,158","8,097","8,341","7,096","5,950","6,422","2,219"
California,"Los Angeles, California",,"928,558","466,417","708,925","1,413,006","1,717,405","1,716,392","1,635,039","1,589,391","1,551,090","1,643,706","1,657,446","1,606,121","1,517,342","690,068"
California,"Madera, California",,"19,014","11,819","16,854","27,591","28,384","27,751","27,136","27,718","28,993","27,474","24,770","21,739","20,031","5,565"
California,"Martinez, California",,"176,571","124,389","197,953","352,068","346,051","347,095","364,372","363,717","359,755","473,836","475,909","446,507","410,968","150,222"
California,"Merced, California",,"94,304","48,737","78,318","133,311","126,793","126,148","121,137","128,327","129,179","134,138","125,316","114,401","103,505","37,641"
California,"Metrolink Station Orange, California 92866",,,,,,,,,,,919,"2,302","3,025","2,439",
California,"Modesto, California",,"76,286","51,281","70,147","116,342","112,292","115,672","117,422","121,389","122,998","127,886","118,226","104,647","96,662","35,883"
California,"Moorpark, California",,"16,960","1,050","7,686","17,539","18,298","21,881","21,726","20,696","18,616","15,212","14,431","13,191","12,293","4,595"
California,"Moreno Valley, California",,,,,,,,,,"12,105","12,431","12,197","11,679","10,806",
California,"Moreno Valley, California","Riverside, California",,,,,,"12,029","12,287","12,837",,,,,,
California,"Napa, California",,,6,,,,,,,,,,,,
California,"Needles, California",,"4,667","3,633","5,682","8,641","9,124","9,176","8,017","8,656","8,386","8,640","9,118","8,840","9,481","4,581"
California,"Oakland Coliseum, California",,"23,557","17,233","41,310","92,730","87,842","77,057","70,520","57,491","52,260","30,133","26,272","22,113","20,785",809
California,"Oakland, California",,"154,266","97,880","211,617","396,640","388,533","371,257","344,112","319,336","303,431","405,627","416,800","379,851","355,128","143,147"
California,"Oceanside, California",,"185,734","106,892","142,524","258,266","432,838","394,122","416,021","385,128","412,711","384,786","344,562","311,834","293,012","155,251"
